instance,N,energy,merit_factor,best-known,%_of_best,source,runs,wall_time_s,cpu_time_s,hardware,solver
LABS-2,2,1,2.0,1,100.0,optimum,100,0.0001,0.009,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-3,3,1,4.5,1,100.0,optimum,100,0.0008,0.082,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-4,4,2,4.0,2,100.0,optimum,100,0.0001,0.011,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-5,5,2,6.25,2,100.0,optimum,100,0.0001,0.012,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-6,6,7,2.57,7,100.0,optimum,100,0.0001,0.014,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-7,7,3,8.17,3,100.0,optimum,100,0.0001,0.015,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-8,8,8,4.0,8,100.0,optimum,100,0.0001,0.013,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-9,9,12,3.38,12,100.0,optimum,100,0.0001,0.013,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-10,10,13,3.85,13,100.0,optimum,100,0.0002,0.017,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-11,11,5,12.1,5,100.0,optimum,100,0.0002,0.017,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-12,12,10,7.2,10,100.0,optimum,100,0.0001,0.015,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-13,13,6,14.08,6,100.0,optimum,100,0.0002,0.016,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-14,14,19,5.16,19,100.0,optimum,100,0.0002,0.017,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-15,15,15,7.5,15,100.0,optimum,100,0.0002,0.018,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-16,16,24,5.33,24,100.0,optimum,100,0.0002,0.018,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-17,17,32,4.52,32,100.0,optimum,100,0.0002,0.02,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-18,18,25,6.48,25,100.0,optimum,100,0.0002,0.022,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-19,19,29,6.22,29,100.0,optimum,100,0.0002,0.022,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
